"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Feature16"	"Metadata_5"	"1"	"Metadata_51"	-2.25643837819472	1.18033285793356	0.0684531065967848	NA	0.580949468245848	"abundance"	100	29	0.132220385390819	0.770023988490892
"Feature86"	"Metadata_1"	"1"	"Metadata_11"	-1.09972175338475	0.930335300822476	0.249797251483145	NA	0.854686143692397	"abundance"	100	28	0.135411743900306	0.770023988490892
"Feature93"	"Metadata_2"	"1"	"Metadata_21"	1.19817784357877	0.645421663768974	0.0699470931667242	NA	0.580949468245848	"abundance"	100	51	0.135001590490974	0.770023988490892
"Feature16"	"Metadata_5"	"1"	"Metadata_51"	0.351104566714597	0.489086084883875	0.472831976468206	NA	0.999068586141785	"prevalence"	100	29	0.132220385390819	0.770023988490892
"Feature78"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.845288319202157	0.56799771668514	0.136700887844451	NA	0.921695380163341	"prevalence"	100	2	0.136700887844451	0.770023988490892
"Feature86"	"Metadata_1"	"1"	"Metadata_11"	0.830872259153503	0.458835775844359	0.0701676193529856	NA	0.678795448088665	"prevalence"	100	28	0.135411743900306	0.770023988490892
"Feature93"	"Metadata_2"	"1"	"Metadata_21"	0.0927136860917654	0.400312903088494	0.816846344606384	NA	0.999068586141785	"prevalence"	100	51	0.135001590490974	0.770023988490892
"Feature76"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.545252611475854	0.298948158176093	0.0723164854503812	NA	0.584395382423351	"abundance"	100	78	0.139403296832867	0.775430838632824
"Feature76"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.26793687077373	0.245112304979033	0.27434163888907	NA	0.999068586141785	"prevalence"	100	78	0.139403296832867	0.775430838632824
"Feature22"	"Metadata_5"	"1"	"Metadata_51"	0.954785035662488	0.658129292856307	0.146847809265204	NA	0.947061958304576	"prevalence"	100	14	0.146847809265204	0.79691798930507
"Feature38"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.690991617264068	0.474232771578226	0.145096317752681	NA	0.947061958304576	"prevalence"	100	5	0.145096317752681	0.79691798930507
"Feature100"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.370810814022569	0.60355900509843	0.558400199168337	NA	0.944288538148847	"abundance"	100	13	0.149846695036016	0.803394931217194
"Feature100"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.590359676244675	0.334930580790091	0.0779624167291314	NA	0.738154796690712	"prevalence"	100	13	0.149846695036016	0.803394931217194
"Feature89"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.83851337075167	1.06821240630007	0.136015258262935	NA	0.791629669380676	"abundance"	100	12	0.154281266080493	0.817323373878803
"Feature89"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.535887251216602	0.306476734954617	0.0803703278386964	NA	0.745099914337915	"prevalence"	100	12	0.154281266080493	0.817323373878803
"Feature58"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.306260062193706	0.304457961523355	0.319112595977461	NA	0.867813673381127	"abundance"	100	58	0.157480093875643	0.824454609113662
"Feature58"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.450877616412487	0.259338829680977	0.082111168972867	NA	0.745703473325017	"prevalence"	100	58	0.157480093875643	0.824454609113662
"Feature15"	"Metadata_2"	"1"	"Metadata_21"	-1.71513648719398	1.18638241369007	0.171939489428911	NA	0.842785366217122	"abundance"	100	19	0.166121518604714	0.824553206181582
"Feature24"	"Metadata_5"	"1"	"Metadata_51"	-0.0198743610496233	0.958098616984074	0.984029134586522	NA	0.99495031988172	"abundance"	100	13	0.165986711411824	0.824553206181582
"Feature48"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.863140975797247	0.471895245387889	0.087334692455483	NA	0.647686940753689	"abundance"	100	21	0.167042036404672	0.824553206181582
"Feature48"	"Metadata_5"	"1"	"Metadata_51"	-1.42774019693094	0.773853072567607	0.0848767471430473	NA	0.647686940753689	"abundance"	100	21	0.16254943208051	0.824553206181582
"Feature71"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.417494612617412	0.239977370086763	0.0863662530203724	NA	0.647686940753689	"abundance"	100	75	0.165273376379966	0.824553206181582
"Feature85"	"Metadata_5"	"1"	"Metadata_51"	-0.9450652145192	0.538050371102876	0.0892143100026042	NA	0.647686940753689	"abundance"	100	36	0.170469426895968	0.824553206181582
"Feature15"	"Metadata_2"	"1"	"Metadata_21"	0.916599423904033	0.535284612297131	0.0868305297507556	NA	0.757638936060515	"prevalence"	100	19	0.166121518604714	0.824553206181582
"Feature17"	"Metadata_1"	"1"	"Metadata_11"	1.42056805864213	1.0347711583738	0.169804249693557	NA	0.978574658786416	"prevalence"	100	4	0.169804249693557	0.824553206181582
"Feature24"	"Metadata_5"	"1"	"Metadata_51"	-1.06449568288548	0.621508993805922	0.0867567199326481	NA	0.757638936060515	"prevalence"	100	13	0.165986711411824	0.824553206181582
"Feature48"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.212663587818392	0.252407315772528	0.399485032667671	NA	0.999068586141785	"prevalence"	100	21	0.167042036404672	0.824553206181582
"Feature48"	"Metadata_5"	"1"	"Metadata_51"	-0.345980349707472	0.481309251505777	0.472244620429762	NA	0.999068586141785	"prevalence"	100	21	0.16254943208051	0.824553206181582
"Feature71"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.0740063770419368	0.251475470826499	0.768537344164178	NA	0.999068586141785	"prevalence"	100	75	0.165273376379966	0.824553206181582
"Feature85"	"Metadata_5"	"1"	"Metadata_51"	-0.174141465282573	0.41576590142483	0.67532942147265	NA	0.999068586141785	"prevalence"	100	36	0.170469426895968	0.824553206181582
"Feature34"	"Metadata_5"	"1"	"Metadata_51"	1.16074948847249	0.670581553993343	0.0909794364938292	NA	0.647686940753689	"abundance"	100	47	0.173681615122924	0.831057190641947
"Feature34"	"Metadata_5"	"1"	"Metadata_51"	-0.03922915199647	0.400648460613798	0.922000466824314	NA	0.999068586141785	"prevalence"	100	47	0.173681615122924	0.831057190641947
"Feature51"	"Metadata_1"	"1"	"Metadata_11"	0.627904203482642	0.50466822262647	0.21911687506264	NA	0.848965626008285	"abundance"	100	57	0.178728971800144	0.846110557990045
"Feature51"	"Metadata_1"	"1"	"Metadata_11"	0.742743092488963	0.443193506558226	0.0937599500133226	NA	0.787229768979784	"prevalence"	100	57	0.178728971800144	0.846110557990045
"Feature14"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.744585664065145	0.558518070390412	0.182484170811214	NA	0.978790387847326	"prevalence"	100	2	0.182484170811214	0.854794273799897
"Feature27"	"Metadata_2"	"1"	"Metadata_21"	3.28818011070122	5.92133646282986	0.677290307554416	NA	0.972610577484406	"abundance"	100	7	0.185123089272703	0.858122653399507
"Feature27"	"Metadata_2"	"1"	"Metadata_21"	-1.32091338028336	0.796636551663872	0.0972946711538158	NA	0.801780160434223	"prevalence"	100	7	0.185123089272703	0.858122653399507
"Feature55"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.623027418429844	0.481362501393588	0.195561864637256	NA	0.978790387847326	"prevalence"	100	5	0.195561864637256	0.897165255294627
"Feature10"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.227236100784496	0.359452474783434	0.531502300985372	NA	0.944288538148847	"abundance"	100	40	0.212734462972597	0.919095495367047
"Feature5"	"Metadata_1"	"1"	"Metadata_11"	1.85568487720365	1.46167773336475	0.260121869819425	NA	0.854686143692397	"abundance"	100	11	0.210695489907444	0.919095495367047
"Feature61"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-1.85712244628901	0.911652389383713	0.11131066463589	NA	0.756406561957527	"abundance"	100	10	0.210231265210097	0.919095495367047
"Feature88"	"Metadata_2"	"1"	"Metadata_21"	-0.0600572546511276	0.757494721916774	0.937174517688284	NA	0.990158682521849	"abundance"	100	49	0.204409651611875	0.919095495367047
"Feature91"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.0467725865099641	0.147543866390988	0.752142379155566	NA	0.990158682521849	"abundance"	100	79	0.212370784090447	0.919095495367047
"Feature10"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.362461546690747	0.228526003220643	0.112720147288691	NA	0.83600775905779	"prevalence"	100	40	0.212734462972597	0.919095495367047
"Feature5"	"Metadata_1"	"1"	"Metadata_11"	1.03418515222748	0.649953673255101	0.111571888055901	NA	0.83600775905779	"prevalence"	100	11	0.210695489907444	0.919095495367047
"Feature61"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.315167497725478	0.326933211450161	0.335039972988137	NA	0.999068586141785	"prevalence"	100	10	0.210231265210097	0.919095495367047
"Feature66"	"Metadata_1"	"1"	"Metadata_11"	-1.32795356705943	1.05675146302764	0.208884911944215	NA	0.999068586141785	"prevalence"	100	3	0.208884911944215	0.919095495367047
"Feature88"	"Metadata_2"	"1"	"Metadata_21"	1.06048920026563	0.65989411532576	0.108041285491237	NA	0.83600775905779	"prevalence"	100	49	0.204409651611875	0.919095495367047
"Feature91"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.406225535937888	0.255972563688741	0.112515230604179	NA	0.83600775905779	"prevalence"	100	79	0.212370784090447	0.919095495367047
"Feature44"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.981481145503843	0.550002786007879	0.117518850875995	NA	0.76387253069397	"abundance"	100	13	0.221227021440776	0.946596389818707
"Feature44"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.25340033997198	0.275790394207244	0.358192366313143	NA	0.999068586141785	"prevalence"	100	13	0.221227021440776	0.946596389818707
"Feature58"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.270577634390148	0.270233812064363	0.321331883803373	NA	0.867813673381127	"abundance"	100	58	0.225901759601631	0.948361160591754
"Feature58"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.374900432959077	0.241240244435975	0.120171471024968	NA	0.875547370057719	"prevalence"	100	58	0.225901759601631	0.948361160591754
"Feature96"	"Metadata_5"	"1"	"Metadata_51"	-1.04987389677229	0.86461390212002	0.224645002387571	NA	0.999068586141785	"prevalence"	100	5	0.224645002387571	0.948361160591754
"Feature30"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.693348285442913	0.44779055077119	0.127596888136054	NA	0.791629669380676	"abundance"	100	58	0.235986635135438	0.966885359078625
"Feature5"	"Metadata_5"	"1"	"Metadata_51"	2.78470735414732	1.51985067505025	0.126405467949843	NA	0.791629669380676	"abundance"	100	11	0.236832593572068	0.966885359078625
"Feature76"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.171136687731504	0.294294748705579	0.562709899772952	NA	0.944288538148847	"abundance"	100	78	0.23568612673343	0.966885359078625
"Feature30"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.323778457102619	0.211566646812331	0.125921419513919	NA	0.875547370057719	"prevalence"	100	58	0.235986635135438	0.966885359078625
"Feature5"	"Metadata_5"	"1"	"Metadata_51"	0.335632188169602	0.611271082407846	0.582955644114269	NA	0.999068586141785	"prevalence"	100	11	0.236832593572068	0.966885359078625
"Feature76"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.386240000790788	0.252266317378261	0.125749536307489	NA	0.875547370057719	"prevalence"	100	78	0.23568612673343	0.966885359078625
"Feature85"	"Metadata_2"	"1"	"Metadata_21"	0.832397590933549	0.536069077370984	0.130962646491384	NA	0.791629669380676	"abundance"	100	36	0.244774078206741	0.990222407290907
"Feature85"	"Metadata_2"	"1"	"Metadata_21"	-0.34110503580593	0.410594370828361	0.406109696563909	NA	0.999068586141785	"prevalence"	100	36	0.244774078206741	0.990222407290907
"Feature1"	"Metadata_1"	"1"	"Metadata_11"	-0.77184354459683	3.41110481078408	0.829947695018349	NA	0.990158682521849	"abundance"	100	11	0.971082213570427	0.997486081121345
"Feature1"	"Metadata_2"	"1"	"Metadata_21"	-2.39302914580878	3.61229286965637	0.536981937191505	NA	0.944288538148847	"abundance"	100	11	0.785614273513069	0.997486081121345
"Feature1"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.645310237910058	1.62894095042339	0.708332658201419	NA	0.972610577484406	"abundance"	100	11	0.91493016172815	0.997486081121345
"Feature1"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.0858475605830793	1.29427412279898	0.949686602679545	NA	0.990158682521849	"abundance"	100	11	0.980399325049597	0.997486081121345
"Feature1"	"Metadata_5"	"1"	"Metadata_51"	3.35606576134617	3.77930688961188	0.415204922159658	NA	0.926464714371177	"abundance"	100	11	0.645177158014253	0.997486081121345
"Feature10"	"Metadata_2"	"1"	"Metadata_21"	0.0755160770661131	0.620367837611767	0.903831131189427	NA	0.990158682521849	"abundance"	100	40	0.726340332883535	0.997486081121345
"Feature10"	"Metadata_5"	"1"	"Metadata_51"	0.595313089918125	0.649376449481533	0.365733075689329	NA	0.902020216048347	"abundance"	100	40	0.597705468725481	0.997486081121345
"Feature100"	"Metadata_1"	"1"	"Metadata_11"	0.743271841285488	1.07933194762775	0.513218507642634	NA	0.944288538148847	"abundance"	100	13	0.763043778698336	0.997486081121345
"Feature100"	"Metadata_2"	"1"	"Metadata_21"	-0.126564035684045	0.981454338570253	0.901019789691995	NA	0.990158682521849	"abundance"	100	13	0.964555644661572	0.997486081121345
"Feature100"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.23362557074286	0.894369341331063	0.801442895905177	NA	0.990158682521849	"abundance"	100	13	0.424376002998304	0.997486081121345
"Feature100"	"Metadata_5"	"1"	"Metadata_51"	0.067105835954944	1.4731241509735	0.964938506966167	NA	0.990158682521849	"abundance"	100	13	0.963990284268021	0.997486081121345
"Feature15"	"Metadata_1"	"1"	"Metadata_11"	1.37723204275545	1.05454868723472	0.214192630696157	NA	0.848965626008285	"abundance"	100	19	0.382506778347774	0.997486081121345
"Feature16"	"Metadata_1"	"1"	"Metadata_11"	-0.764499798007226	1.15275195987472	0.513798025588913	NA	0.944288538148847	"abundance"	100	29	0.559084278386675	0.997486081121345
"Feature16"	"Metadata_2"	"1"	"Metadata_21"	-0.123633032548251	1.1584637447916	0.915935313949567	NA	0.990158682521849	"abundance"	100	29	0.719848100093276	0.997486081121345
"Feature16"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.0239880087865393	0.653823333481742	0.971049699213669	NA	0.990158682521849	"abundance"	100	29	0.972243264341156	0.997486081121345
"Feature18"	"Metadata_2"	"1"	"Metadata_21"	0.150571435945118	0.857011188054699	0.863727143448834	NA	0.990158682521849	"abundance"	100	17	0.968839256607866	0.997486081121345
"Feature18"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.0186988316761771	0.376011162124886	0.961229473101193	NA	0.990158682521849	"abundance"	100	17	0.995905294082466	0.997486081121345
"Feature18"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.243530663456261	0.388131561723658	0.54317325298085	NA	0.944288538148847	"abundance"	100	17	0.56638207572832	0.997486081121345
"Feature18"	"Metadata_5"	"1"	"Metadata_51"	-0.327409578192962	0.841617930412768	0.704683482551164	NA	0.972610577484406	"abundance"	100	17	0.540848660663856	0.997486081121345
"Feature20"	"Metadata_1"	"1"	"Metadata_11"	-0.728084670634918	1.94878677400655	0.713922752431622	NA	0.972610577484406	"abundance"	100	21	0.918159808423701	0.997486081121345
"Feature20"	"Metadata_2"	"1"	"Metadata_21"	-0.170163204080719	1.87053838418993	0.928719994369971	NA	0.990158682521849	"abundance"	100	21	0.736962472764923	0.997486081121345
"Feature20"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.463475367457456	1.21650141032088	0.708552233728072	NA	0.972610577484406	"abundance"	100	21	0.785215716455641	0.997486081121345
"Feature20"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.571692661528808	0.747885886369207	0.456479645028936	NA	0.944288538148847	"abundance"	100	21	0.56532192885106	0.997486081121345
"Feature21"	"Metadata_1"	"1"	"Metadata_11"	-0.562679745282272	0.761348415706778	0.466755369714695	NA	0.944288538148847	"abundance"	100	31	0.715650164271888	0.997486081121345
"Feature21"	"Metadata_2"	"1"	"Metadata_21"	-0.197148537076216	0.794283797258611	0.806000064238831	NA	0.990158682521849	"abundance"	100	31	0.962364024924662	0.997486081121345
"Feature21"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.0137388889534308	0.373398797627057	0.970941374340734	NA	0.990158682521849	"abundance"	100	31	0.600083265637024	0.997486081121345
"Feature21"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.53395099863055	0.35792522673436	0.148265088579658	NA	0.791629669380676	"abundance"	100	31	0.274547640667783	0.997486081121345
"Feature21"	"Metadata_5"	"1"	"Metadata_51"	-0.865764533360534	0.806629762998352	0.293382975760628	NA	0.867813673381127	"abundance"	100	31	0.500692381055095	0.997486081121345
"Feature24"	"Metadata_1"	"1"	"Metadata_11"	-1.12622051744196	0.90556134832972	0.253652639985419	NA	0.854686143692397	"abundance"	100	13	0.350620930122762	0.997486081121345
"Feature24"	"Metadata_2"	"1"	"Metadata_21"	1.19569766170396	0.876743195481994	0.214863611748196	NA	0.848965626008285	"abundance"	100	13	0.383560851842912	0.997486081121345
"Feature24"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.659202909561382	0.563388488956162	0.280263946370947	NA	0.863906391390857	"abundance"	100	13	0.294952122517693	0.997486081121345
"Feature24"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.338094143941223	0.353527253961071	0.370751693227577	NA	0.902020216048347	"abundance"	100	13	0.604046568424038	0.997486081121345
"Feature26"	"Metadata_1"	"1"	"Metadata_11"	0.0532299447896842	0.601853108253388	0.930621811279864	NA	0.990158682521849	"abundance"	100	22	0.992029805883344	0.997486081121345
"Feature26"	"Metadata_2"	"1"	"Metadata_21"	-0.0941587628620532	0.588341372670285	0.874851784512261	NA	0.990158682521849	"abundance"	100	22	0.69935108642268	0.997486081121345
"Feature26"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.0148013252704776	0.323462353097779	0.964068572980282	NA	0.990158682521849	"abundance"	100	22	0.544455670583095	0.997486081121345
"Feature26"	"Metadata_5"	"1"	"Metadata_51"	0.215909112815183	0.582242977667548	0.715633200824646	NA	0.972610577484406	"abundance"	100	22	0.742569921905885	0.997486081121345
"Feature27"	"Metadata_1"	"1"	"Metadata_11"	-1.94760767605441	10.3777963729046	0.881898890781345	NA	0.990158682521849	"abundance"	100	7	0.479983561836724	0.997486081121345
"Feature27"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-1.05337925125381	5.06911408990713	0.869564587737208	NA	0.990158682521849	"abundance"	100	7	0.859819674967067	0.997486081121345
"Feature27"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-2.24952321997678	6.10189836410542	0.775145653094449	NA	0.990158682521849	"abundance"	100	7	0.777027544418565	0.997486081121345
"Feature27"	"Metadata_5"	"1"	"Metadata_51"	-0.485662218619756	4.04348505791846	0.923900270887637	NA	0.990158682521849	"abundance"	100	7	0.977767335901786	0.997486081121345
"Feature3"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.137930048490386	0.140621180470339	0.333588936278859	NA	0.890563320958741	"abundance"	100	40	0.477379912761525	0.997486081121345
"Feature3"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.0765853040032061	0.140337077389513	0.588818610716759	NA	0.951526956327702	"abundance"	100	40	0.830929865107104	0.997486081121345
"Feature3"	"Metadata_5"	"1"	"Metadata_51"	-0.235232648021409	0.272951971826536	0.394829963988364	NA	0.92229811900407	"abundance"	100	40	0.396383196826345	0.997486081121345
"Feature30"	"Metadata_1"	"1"	"Metadata_11"	0.195374715195132	0.847250125755985	0.818531484613988	NA	0.990158682521849	"abundance"	100	58	0.542831392447507	0.997486081121345
"Feature30"	"Metadata_2"	"1"	"Metadata_21"	0.0951240474149011	0.825316025038565	0.908684774963431	NA	0.990158682521849	"abundance"	100	58	0.991661529676521	0.997486081121345
"Feature30"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.229269354329347	0.424201842758978	0.591178916583909	NA	0.951526956327702	"abundance"	100	58	0.574614725203751	0.997486081121345
"Feature30"	"Metadata_5"	"1"	"Metadata_51"	-0.488567973669162	0.829932004978646	0.558621638295535	NA	0.944288538148847	"abundance"	100	58	0.805185141819082	0.997486081121345
"Feature33"	"Metadata_1"	"1"	"Metadata_11"	0.0713452653811079	0.413734048937065	0.863514697969992	NA	0.990158682521849	"abundance"	100	88	0.915396500467313	0.997486081121345
"Feature33"	"Metadata_2"	"1"	"Metadata_21"	-0.49520099091532	0.403640496004461	0.223394881024283	NA	0.848965626008285	"abundance"	100	88	0.396884489180713	0.997486081121345
"Feature33"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.0496988638463828	0.218182543057784	0.820379860001171	NA	0.990158682521849	"abundance"	100	88	0.305794486292546	0.997486081121345
"Feature33"	"Metadata_5"	"1"	"Metadata_51"	0.337271176069318	0.407069069303103	0.409772425904559	NA	0.926464714371177	"abundance"	100	88	0.651631410777411	0.997486081121345
"Feature34"	"Metadata_1"	"1"	"Metadata_11"	-1.03672948850066	0.683062719840008	0.136747133446775	NA	0.791629669380676	"abundance"	100	47	0.254794488387639	0.997486081121345
"Feature34"	"Metadata_2"	"1"	"Metadata_21"	-0.132275399355688	0.665418970151458	0.843413312753072	NA	0.990158682521849	"abundance"	100	47	0.811505324121134	0.997486081121345
"Feature34"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.281698311268694	0.358690743101868	0.436762499963408	NA	0.944288538148847	"abundance"	100	47	0.68276351855253	0.997486081121345
"Feature34"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.314259515117757	0.359861529706166	0.387597202197892	NA	0.912531995725745	"abundance"	100	47	0.541881812068784	0.997486081121345
"Feature35"	"Metadata_1"	"1"	"Metadata_11"	-0.136923312389732	0.616485821638315	0.825285277074834	NA	0.990158682521849	"abundance"	100	49	0.969474765593182	0.997486081121345
"Feature35"	"Metadata_2"	"1"	"Metadata_21"	-0.228390077488393	0.547502637743413	0.678644939105644	NA	0.972610577484406	"abundance"	100	49	0.80080399358265	0.997486081121345
"Feature35"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.123381499457693	0.306220860273397	0.689005831970579	NA	0.972610577484406	"abundance"	100	49	0.288095592170226	0.997486081121345
"Feature35"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.0664492228183376	0.289652893377298	0.819638122920756	NA	0.990158682521849	"abundance"	100	49	0.967469593296452	0.997486081121345
"Feature35"	"Metadata_5"	"1"	"Metadata_51"	-0.485939191157472	0.598260498637514	0.421120310600039	NA	0.932703502736383	"abundance"	100	49	0.452914462207281	0.997486081121345
"Feature37"	"Metadata_1"	"1"	"Metadata_11"	0.789401428620236	0.643573574187833	0.225108831462455	NA	0.848965626008285	"abundance"	100	62	0.305098945430594	0.997486081121345
"Feature37"	"Metadata_2"	"1"	"Metadata_21"	0.175755196175132	0.635961244092663	0.78328785229682	NA	0.990158682521849	"abundance"	100	62	0.873492354367217	0.997486081121345
"Feature37"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.132893015423085	0.3577384809201	0.711681219514634	NA	0.972610577484406	"abundance"	100	62	0.45345301511151	0.997486081121345
"Feature39"	"Metadata_2"	"1"	"Metadata_21"	1.20123010237336	1.17751775644225	0.319272540980945	NA	0.867813673381127	"abundance"	100	27	0.53661012653746	0.997486081121345
"Feature39"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.145586802548747	0.637746561431471	0.821634324190344	NA	0.990158682521849	"abundance"	100	27	0.316868562399264	0.997486081121345
"Feature39"	"Metadata_5"	"1"	"Metadata_51"	0.0399363107230514	1.19251738491368	0.973600845021484	NA	0.990158682521849	"abundance"	100	27	0.672134399663799	0.997486081121345
"Feature40"	"Metadata_2"	"1"	"Metadata_21"	1.17383481180403	0.957589844308911	0.224688411900323	NA	0.848965626008285	"abundance"	100	71	0.398891941358356	0.997486081121345
"Feature40"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.206113303433605	0.500889664216641	0.682063730617729	NA	0.972610577484406	"abundance"	100	71	0.898916528611284	0.997486081121345
"Feature40"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.121581194958569	0.494084554235605	0.806400611425278	NA	0.990158682521849	"abundance"	100	71	0.882279423421162	0.997486081121345
"Feature40"	"Metadata_5"	"1"	"Metadata_51"	0.0394229362786447	0.954730944750137	0.967189531303549	NA	0.990158682521849	"abundance"	100	71	0.990673550339029	0.997486081121345
"Feature42"	"Metadata_1"	"1"	"Metadata_11"	0.35936106843291	0.909793746643982	0.706508463004808	NA	0.972610577484406	"abundance"	100	12	0.817585386115697	0.997486081121345
"Feature42"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.236948190815016	0.436422222928232	0.606740021821514	NA	0.964974821939535	"abundance"	100	12	0.845346589563056	0.997486081121345
"Feature42"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.0304299121432794	0.482448671982318	0.951756428947332	NA	0.990158682521849	"abundance"	100	12	0.994539216302682	0.997486081121345
"Feature42"	"Metadata_5"	"1"	"Metadata_51"	0.020524756657654	1.04505959603332	0.984967540752472	NA	0.99495031988172	"abundance"	100	12	0.764341006741198	0.997486081121345
"Feature43"	"Metadata_1"	"1"	"Metadata_11"	0.597944386124957	0.895195319375247	0.522965513169563	NA	0.944288538148847	"abundance"	100	14	0.637392515408848	0.997486081121345
"Feature43"	"Metadata_2"	"1"	"Metadata_21"	-1.31426127764933	1.09375339306959	0.263877667239066	NA	0.857602418526966	"abundance"	100	14	0.458123911210601	0.997486081121345
"Feature43"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.42655175824229	0.543224675098157	0.454946992757614	NA	0.944288538148847	"abundance"	100	14	0.665428709080657	0.997486081121345
"Feature43"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.640667958559161	0.563121331212038	0.288166512753072	NA	0.867813673381127	"abundance"	100	14	0.493293086433877	0.997486081121345
"Feature44"	"Metadata_2"	"1"	"Metadata_21"	-0.880138413802456	0.998734932899072	0.40741928828918	NA	0.926464714371177	"abundance"	100	13	0.648848100108298	0.997486081121345
"Feature44"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.0322314194226337	0.680423307299261	0.96354175487465	NA	0.990158682521849	"abundance"	100	13	0.305105931572841	0.997486081121345
"Feature44"	"Metadata_5"	"1"	"Metadata_51"	0.132639947585563	1.12472067224801	0.909434632666367	NA	0.990158682521849	"abundance"	100	13	0.380070348651668	0.997486081121345
"Feature45"	"Metadata_2"	"1"	"Metadata_21"	-0.466693955043077	0.719553826012463	0.520221148679781	NA	0.944288538148847	"abundance"	100	47	0.689336790156881	0.997486081121345
"Feature45"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.263305203651511	0.397881921982772	0.511822852980437	NA	0.944288538148847	"abundance"	100	47	0.351762539843652	0.997486081121345
"Feature45"	"Metadata_5"	"1"	"Metadata_51"	0.453388522159034	0.725943468906552	0.535726250358708	NA	0.944288538148847	"abundance"	100	47	0.784449885394015	0.997486081121345
"Feature47"	"Metadata_1"	"1"	"Metadata_11"	0.239897961728047	0.489427616708496	0.627839474202654	NA	0.972610577484406	"abundance"	100	34	0.861496543038243	0.997486081121345
"Feature47"	"Metadata_2"	"1"	"Metadata_21"	-0.14992160131369	0.423704343870877	0.726112812408359	NA	0.977831307958554	"abundance"	100	34	0.437588961365973	0.997486081121345
"Feature47"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.310146863632596	0.266267869374209	0.253931126805024	NA	0.854686143692397	"abundance"	100	34	0.44338123644958	0.997486081121345
