feature	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	GGB1680_SGB2312	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	Dysgonomonas_mossii	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143
CSM67UH7	-3.116948448716	-6.18426933617799	NA	NA	NA	NA	-8.6986117257505	-6.91736189003584	-6.87594141586602	-9.29681663315227	-5.89262354054298	-9.24149413768534	NA	-9.90923183837754	-5.21492320352763	NA	-4.71456678169043	-6.80116852753294	NA	-1.16778783395337	NA	NA	NA	NA	NA	-8.65924310649269	-8.43491340134038	-7.74185351904558	-12.5811385673038	NA	NA	-3.19851820899708	NA	NA	-8.34475246871978	NA	NA	NA	-4.76893402549557	-4.96477563936197	-11.0446466806585	-14.8388937416447	NA	NA	NA	NA	-7.07682454783486	NA	-8.13809375504355	NA	NA	NA	-9.46204953127789	NA	NA	-10.9683688916387	-5.7644047085328	-7.40971799548035	-7.7117536066992	-8.56506787409009	NA	NA	NA	-5.24729854027365	NA	NA	-11.6539540142651	-12.19503755187	NA	-10.334190812839	-6.88326270261761	NA	NA	NA	NA	-13.3391513737408	NA	NA	-8.92251016129749	-10.8127835269305	NA	NA	NA	NA	-7.37980814729866	-8.12108381193472	NA	NA	NA	NA	-8.36458202242372	NA	-10.7263019152684	NA	NA	NA	NA	-12.64522438603	-10.455750525303	-9.51287289212347	-10.4363522779437	-12.8506517125209	NA	NA	-11.3910054550316	-18.5207177816192	NA	NA	-9.54164991013796	-9.5008954252532	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.6957590410899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.4156823109202	NA	-6.01736821818437	NA	NA	NA	NA	-9.62880753175379	NA	NA	NA	NA	NA	NA	NA	NA
CSM6J2H9_P	-2.30969920675181	-2.29900686484134	-3.3064274789767	NA	-3.41876988421093	-15.338777312048	-11.620946535569	-7.75662685210195	-6.40119804252235	-3.90620954905171	-6.94773697022417	-7.28168811984121	-4.93075364648621	-4.40968554447863	-8.87587900461253	-7.21498213302242	NA	-5.94615046405824	-5.95663041708139	NA	NA	-13.5314223899904	NA	NA	NA	-7.09292486504313	-9.53711992365007	-6.48794286937284	NA	-5.67008394619631	NA	-12.2932021078583	NA	-10.116036792015	NA	NA	-14.4292896049535	-8.73705670695566	-10.2043047390005	-6.88771474789302	-6.88067557063585	-7.44943094122366	NA	-9.59100769089595	-7.31723456054352	NA	-8.89217830543968	NA	-7.16367174799219	NA	NA	NA	-8.05896807387729	-12.9809083360916	NA	-10.2814441369821	NA	-11.653412914369	-11.6293674404024	-10.9930024752063	NA	NA	NA	NA	-8.86699226589917	NA	NA	-11.9551508495333	NA	-10.7548983224862	NA	NA	NA	NA	NA	-7.03756951599514	NA	NA	-6.89551638949242	-9.54952273112786	-7.8510821016789	NA	-12.1753656175644	-10.3479450724527	-7.47579098347037	-10.700912281184	-9.90632946141572	-13.9758462430353	NA	NA	-14.8617301504938	-8.01198346198885	-11.2920219891496	NA	NA	NA	NA	-12.5786043267205	-17.9237398127695	-10.38479065	-9.73832860021377	-8.35984788710686	NA	NA	-17.1789968680115	NA	-11.9714314350935	NA	-15.1388397415393	NA	-16.0142521056747	NA	NA	-15.7844650241671	NA	NA	-7.53310605207353	NA	-9.68598077682547	-10.5555283266333	NA	-6.201751571824	-6.22065464378792	NA	NA	NA	NA	-15.405272723835	NA	NA	-6.02599654004127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.2098656929789	-14.3783056762347
CSM79HGR_P	-3.27492115791452	-5.74160959915606	NA	NA	NA	-14.4109861011436	-8.72520142478398	-7.42734058000294	-7.89369507960102	-5.11123215387527	-6.23105280300828	-6.71816063860455	NA	-8.80497046368022	-4.7763119334582	-7.20947624717798	-3.48165209003105	-3.86065592045931	NA	-5.16438129482273	NA	NA	NA	NA	-15.8845273191964	-7.13474846783176	-6.93458233697228	-7.48913792654728	-9.08581471318618	NA	NA	-7.98255969964043	NA	NA	-7.59139747127197	NA	NA	-12.8699790106272	-11.8190202126847	-9.68777567940647	-7.85856474922279	-9.86892391312564	NA	NA	NA	NA	NA	NA	-8.66516254484574	NA	NA	NA	-14.5743444319821	NA	-6.72818796577298	-9.44562310281565	-5.03373334332001	-14.785641654686	-4.46373489318342	NA	NA	NA	-7.10565103559423	-8.42526186818726	NA	NA	NA	-15.0171650877745	NA	-15.4357692020735	-1.36559469318115	NA	NA	NA	-10.5151362932671	-10.8451636255468	NA	NA	-8.76005666115609	-10.9445510947686	-10.8315921610743	NA	NA	-12.1478054441018	-10.9159383559605	-12.7563587828328	-16.1167007613255	NA	NA	NA	NA	NA	-7.43976423548101	NA	NA	NA	NA	NA	-11.1584472718746	-13.2785973890118	-11.6824696968132	NA	NA	NA	-18.5090181841049	-10.3390931826619	-9.38813234131638	NA	-5.76365023075887	-6.09181395544275	NA	NA	NA	-16.5704187287684	NA	NA	NA	NA	NA	-12.6583104238888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.0165390539001	NA	-12.1325309904271	NA	NA	NA	NA	-12.5279266466542	NA	NA	NA	NA	NA	NA	NA	NA
CSM79HGV_P	-3.27014346145402	-4.39000450067404	-7.8876614369474	-6.34847550166278	-10.1818925911451	-10.498659770013	-6.9411088551949	-7.71723200927252	-5.27051345177812	-5.55970619100667	-5.1780422099837	-7.09834451735731	-11.1418006238259	-7.83466385951656	-5.1839875836318	-4.88658073947055	-3.56008663815037	-5.28806441523383	-12.7524332975851	-8.51877873764607	NA	NA	-11.7362494672026	NA	-16.8728188382262	-3.84494782668293	-5.8212054713258	-6.98261229248398	-10.4561415480099	NA	NA	-8.05543035022062	NA	NA	-7.34148673520957	-16.0370482340044	NA	-11.8569274654562	-12.3821837200531	-10.6488782421186	-7.12573062311243	-8.75053143326501	-19.1765995864039	NA	NA	-11.7300331773371	NA	NA	-7.51997920382194	NA	NA	-12.8911973675409	-11.0457073165965	NA	-7.16469535281363	-8.98053542048211	-4.93102366975963	-8.86449660044209	-5.84195093911383	-12.0977816364412	-12.1308399250205	NA	-7.61018872518539	-9.31735600844018	NA	NA	-9.47540143894895	-14.1051372238466	NA	-12.7799948052213	-1.68359782819242	NA	NA	NA	-7.32658371746826	-11.6762556171328	NA	NA	-8.36081604227498	-10.5246509756797	-10.6222505643397	NA	-15.891197367541	-12.2406979041356	-10.1182695601975	-11.7259038148303	NA	NA	NA	NA	NA	NA	-7.41276478697356	NA	NA	NA	NA	-14.0602556251657	-14.5219635578752	-10.011849756155	-12.576686744216	-18.0891367451529	NA	NA	NA	-9.59622323345686	-11.6998533824637	NA	-6.69121049763389	-5.74383750130928	NA	NA	NA	-16.0997839893523	NA	NA	NA	NA	NA	-11.8141077803571	NA	-17.717167967766	NA	NA	-13.9310468801475	NA	NA	NA	NA	NA	-9.52914115994825	NA	-10.4423133543068	NA	NA	NA	-16.9286720729598	-13.1431765848657	NA	NA	NA	NA	NA	NA	NA	NA
CSM79HGX	-1.48827998117457	-2.69209550386552	-4.81038085276181	NA	-3.51639223232294	NA	-6.90703596300149	NA	-5.83307187776416	-5.46604085118455	-5.30680203161815	-5.03753882404657	-5.72877553459958	-6.31963638957322	-7.27814519967946	NA	NA	-7.86090270883808	-6.8378471493131	NA	NA	NA	-6.72423490583435	NA	NA	NA	-5.18109762433307	NA	-6.1877657472821	NA	NA	-5.35910116408165	NA	-8.16705532346069	NA	NA	-11.9946995448135	-8.51437882221793	-7.4303869434607	NA	NA	NA	-9.01265053969757	NA	NA	-4.84006651321011	NA	NA	NA	NA	NA	NA	-7.88884847153046	-7.63477338020617	NA	NA	NA	-8.8678829619908	NA	-6.80197932846113	NA	NA	-8.52913226233254	NA	-7.56438549132523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.5958961009131	NA	NA	NA	-8.45181579045547	NA	-6.55463325104316	NA	NA	NA	NA	-8.89542244193109	-10.8259471017364	NA	NA	NA	NA	NA	NA	NA	-10.8659662306913	NA	-11.9549196428282	NA	NA	-11.8240163366482	-8.46852300904352	NA	NA	NA	NA	-8.02574667472809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.84078963151427	NA	NA	-7.21696592975006	NA	NA	-7.42962654694017	NA	NA	NA	NA	NA	NA	NA	-10.0341718914631	-7.98707962487665	-6.73919881166514	NA	NA	NA	NA	NA	NA	-12.4816163747404	NA
CSM79HGZ	-3.1978356345793	-5.35010177223226	NA	NA	NA	NA	-8.43187183332871	-7.86407250739194	-5.80031363234061	-4.59405514662316	-5.66523363549501	-7.50062375972278	NA	-8.46698987658363	-5.37355006728069	-7.11069349645119	-3.08731006089184	-3.58110724813983	NA	-4.81472305450443	NA	NA	NA	NA	NA	-5.36301559011304	-7.33564874612146	-6.93712095847888	-11.1799090900149	NA	NA	-7.47767206873758	NA	NA	-7.73028763203544	-11.9112506015044	NA	-12.0535991016485	-9.1745238839081	-8.21938000571739	-7.91727189063226	NA	NA	NA	NA	NA	NA	NA	-9.03746021366072	NA	NA	NA	-9.69368603807141	NA	-6.76328760022664	-8.59920914822589	-3.80856223102047	-11.7514460793626	-5.3965561393071	-18.2427647452214	NA	NA	-6.13718356394349	-8.16061570386705	NA	-14.9847484141538	NA	-13.0595429211652	NA	-13.7339135725394	-2.03909174418514	NA	NA	NA	-8.63753217940924	-12.3519938149757	NA	NA	-8.69047990527742	-9.92188899918304	-11.6683604361983	NA	NA	-11.6563002193345	-9.43358613881481	-12.7077486362872	NA	NA	NA	NA	NA	NA	-7.67740874948575	NA	NA	NA	NA	NA	-11.2693065326734	-11.033311379592	-11.0896349863216	NA	NA	NA	NA	-9.81775870373598	-9.6245016141436	NA	-5.94829715679878	-4.79335383113262	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.52932094752036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.20375433328414	NA	-10.3445160765127	NA	NA	NA	NA	-13.1882056464313	NA	NA	NA	NA	NA	NA	NA	NA
CSM79HOV	-1.70799454651936	-3.99117187099807	-4.02523908555134	NA	-6.27489241273686	NA	-13.1226218045125	NA	-9.91855404138914	-4.36663558019627	-5.50206386334146	-5.20257831601778	-4.25609908737507	-7.65724956571065	-5.79453514981927	-9.86294709097217	NA	-9.42121271417711	-8.3180709553316	NA	NA	NA	NA	NA	NA	-5.66913938643466	-6.68446786417856	NA	-5.95300809771826	-5.88820196409342	-6.22685095559964	-8.42574203406696	NA	NA	NA	NA	NA	-12.2062379229773	-9.59407476097244	NA	NA	-5.6438227387753	-7.14865839721255	-6.18189626107991	-8.32208625166382	NA	NA	NA	NA	NA	NA	NA	-12.2715156402004	NA	-5.96234893154316	NA	NA	-11.3959175424431	-13.9838455016409	NA	NA	NA	-8.22190737924319	-8.14032596778276	NA	NA	NA	-12.6104317460268	NA	NA	NA	NA	NA	NA	-12.8159008643268	-11.5191034847631	NA	NA	-7.2588324720925	-12.3350108177533	NA	NA	NA	NA	-13.1059108643046	NA	-5.36503275283999	NA	NA	NA	NA	NA	NA	NA	-6.87213480232577	NA	NA	-11.8381536711739	-9.73163897483622	-10.8680747253551	NA	NA	NA	NA	NA	NA	-7.79614868332118	NA	NA	-3.40934708093626	NA	NA	NA	NA	NA	-3.94808875210741	NA	NA	NA	NA	NA	NA	NA	NA	-7.92254932237198	NA	NA	NA	-7.53628846120998	-7.55430038193578	-6.8431216590062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSM79HOX	-3.7623243448169	-4.95637388186267	NA	NA	NA	NA	-8.36533329188405	-7.95790814271717	-6.57402500129	-5.89475817623847	-6.70982634795417	-8.50143987806329	NA	-8.16030875571345	-5.76795443422532	-6.68405661015535	-4.29329796547298	-4.77716055358867	NA	-7.15825905208864	NA	NA	NA	NA	NA	-4.63100113456345	-7.5951267993917	-6.72537045019356	-11.5518515037095	NA	NA	-8.49648275250554	NA	NA	-8.88944047299687	NA	NA	-15.6673287211294	-10.7968222760151	-9.76348149522743	-8.18583082463893	-12.7827195728969	NA	NA	NA	NA	NA	NA	-9.27511000828471	NA	NA	NA	-11.444936299793	NA	-6.51216154480221	-10.3795898095013	-5.35393090747857	-12.3199237202262	-5.90550050009985	-15.0823662204083	NA	NA	-7.05338052861528	-9.34332927622234	NA	NA	NA	NA	NA	-19.1102722169789	-0.93878111283559	NA	NA	NA	-9.45832360625467	-11.6940024724549	NA	NA	-7.37368530951162	-11.1787959830913	-11.8042105275498	NA	NA	-12.8623447035345	-10.2653703409583	-14.996530050929	NA	NA	NA	NA	NA	NA	-7.91459243148214	NA	NA	NA	NA	-15.9204476580981	-12.95672018527	-11.0354617558177	-14.6590611051458	NA	NA	NA	NA	-10.4228965335407	-9.47739058657202	NA	-5.90505170047137	-4.85337250090192	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.2742218619201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.16300056451778	NA	-11.239522213632	NA	NA	NA	NA	-13.4882203975218	NA	NA	NA	NA	NA	NA	NA	NA
CSM79HOZ	-3.15202821669823	-4.51408208588185	NA	NA	NA	NA	-8.48604069570223	-7.49107737814682	-6.13845830718428	-4.54205905103149	-6.20417099614667	-7.26890894647701	NA	-9.21379427338164	-4.59411993151369	-7.65184558267266	-3.58629964096799	-3.8539218496661	NA	-5.25368579147309	NA	NA	NA	NA	NA	-5.07639980649298	-7.91183682391352	-6.95137154785744	-7.75195267875799	NA	NA	-7.89514404753967	NA	NA	-8.08035065274486	NA	NA	-11.433930426763	-10.9941194260582	-8.69933400662947	-6.30345802282526	-12.7906880938061	NA	NA	NA	NA	NA	NA	-9.03567585038272	NA	NA	NA	-11.5708641743893	NA	-7.83736124785009	-9.33944490461966	-3.61192347045398	-15.9992996651639	-4.36521990679061	NA	NA	NA	-6.24178374498834	-7.71313252308401	NA	NA	NA	NA	NA	NA	-2.01647532486817	NA	NA	NA	-9.37793292363505	-11.3780383491195	NA	NA	-8.8678682919624	-9.82247180346686	-10.8270700385655	NA	NA	-10.602048260008	-10.5834515264071	-15.6183948508042	NA	NA	NA	NA	NA	NA	-8.85211304563055	NA	NA	NA	NA	-13.5771441225379	NA	-12.0690728655152	-10.061941723337	NA	NA	NA	NA	-10.4082953576549	-9.55886364736068	NA	-7.35642982708646	-4.88003194908346	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.793497627393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.06949845183082	NA	-11.0018967766499	NA	NA	NA	NA	-12.6794488853091	NA	NA	NA	NA	NA	NA	NA	NA
CSM79HP2	-3.57608156838546	-4.41246076407663	NA	NA	NA	NA	-7.83815735994158	-7.49731637108498	-6.42398424762403	-5.18695029061125	-5.47857222366076	-8.17388869776433	NA	-9.12463016530611	-5.68509111608668	-6.39218574511393	-3.50060565015645	-4.38826787402762	NA	-6.63269828101326	NA	NA	NA	NA	NA	-5.65097659470864	-9.12618759083435	-5.98912682435598	-6.55250882027475	NA	NA	-9.09688023329138	NA	NA	-8.05116800336509	NA	NA	-12.199436572865	-10.6434221637092	-10.6164184053773	-6.78175450871664	-8.75277931585933	NA	NA	NA	NA	NA	NA	-8.4484403611008	NA	NA	NA	-10.9974859491426	NA	-7.97197864044159	-9.16692604267169	-4.22846500826536	-13.9782937791865	-4.76545288791655	-14.7498418515498	NA	NA	-6.94655137251494	-9.02983544504418	NA	NA	NA	-13.5159102376603	NA	NA	-1.4583475722296	NA	NA	NA	-8.01324978448001	-11.5512733063032	NA	NA	-9.9282282355855	-11.6468955498362	-12.4880529123144	NA	NA	-12.2888589477728	-11.4399148541326	-15.2259087842262	-15.4572343303327	NA	NA	NA	NA	NA	-8.06135357039338	NA	NA	NA	NA	-16.9219025973363	-14.941267922203	-11.357524428771	-12.2475926110197	NA	NA	NA	NA	-10.716614359222	-9.24354894336192	NA	-8.04207432478778	-4.57026764341211	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.4347592975768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.97029731908796	NA	-12.9683269344274	NA	NA	NA	NA	-14.7455798246957	NA	NA	NA	NA	NA	NA	NA	NA
